epoch,step,train/loss,train_mae_epoch,train_mape_epoch,train_msle_epoch,train_msqe_epoch,val/loss,val_mae_epoch,val_mape_epoch,val_msle_epoch,val_msqe_epoch
37,7749,18260.64453125,,,,,,,,,
37,7789,,,,,,23808.0,115.52618408203125,4.585391521453857,nan,155.90724182128906
37,7789,,116.43128204345703,4.835100173950195,nan,156.7606658935547,,,,,
38,7799,31277.001953125,,,,,,,,,
38,7849,28407.341796875,,,,,,,,,
38,7899,24928.9609375,,,,,,,,,
38,7949,20137.99609375,,,,,,,,,
38,7994,,,,,,23913.873046875,115.53899383544922,4.5907793045043945,nan,155.87490844726562
38,7994,,116.38874816894531,4.834678649902344,nan,156.70416259765625,,,,,
39,7999,34800.89453125,,,,,,,,,
39,8049,25619.55078125,,,,,,,,,
39,8099,13885.732421875,,,,,,,,,
39,8149,26204.48046875,,,,,,,,,
39,8199,2042.711669921875,,,,,,,,,
39,8199,,,,,,23759.603515625,115.52738189697266,4.595447063446045,nan,155.83184814453125
39,8199,,116.35161590576172,4.834178447723389,nan,156.65232849121094,,,,,
40,8200,,,,,,23759.603515625,115.51632690429688,4.599887847900391,nan,155.79087829589844
